0,Incidence Rate (c),Lab Confirm Incidence rate,(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Country_sp,Deaths,EW,Iso3166,Confirmed,Epidemiological Week (a),Number of Records,Population x 1000,Serotype,Severe Dengue (d),Total of Dengue Cases (b),Type,Year
0,0.00,0.00,0,0.000,1,North America,América del Norte,0,15,,2,-,1,324460,  ,0,2,Preliminar,2018
0,0.01,0.01,0,0.000,1,North America,América del Norte,0,15,,23,-,1,324460,  ,0,23,Preliminar,2017
0,28.70,9.57,0.722039514,0.045,3,Andean Subregion,Subregión Andina,18,15,,13479,-,1,140885,  ,292,40441,Preliminar,2017
0,1.53,0.15,2.269692924,0.000,3,Andean Subregion,Subregión Andina,0,15,,144,-,1,97856,  ,34,1498,Preliminar,2018
0,279.17,2.74,0.052776998,0.030,4,Southern Cone,Cono Sur,229,15,,7524,-,1,274199,  ,404,765485,Preliminar,2015
0,9.25,1.54,0,0.000,6,Non-Latin Caribbean,Caribe No Latino,0,15,,105,-,1,6836,  ,0,632,Preliminar,2017
0,2.00,0.08,4.166666667,0.000,5,Latin Caribbean,Caribe Latino,0,15,,11,-,1,14430,  ,12,288,Preliminar,2017
0,31.00,2.97,1.884178443,0.017,2,Central America Ithsmus and Mexico,Istmo Centroamericano y México,9,15,,5181,-,1,174638,  ,1020,54135,Preliminar,2016
0,25.91,1.14,2.249061017,0.007,2,Central America Ithsmus and Mexico,Istmo Centroamericano y México,3,15,,1962,-,1,171588,  ,1000,44463,Preliminar,2015
0,18.82,1.51,0.224759507,0.006,2,Central America Ithsmus and Mexico,Istmo Centroamericano y México,2,15,,2671,-,1,177318,  ,75,33369,Preliminar,2017
0,64.76,22.60,0.827798633,0.052,3,Andean Subregion,Subregión Andina,43,15,,29006,-,1,128332,  ,688,83112,Preliminar,2016
0,46.09,0.42,0.047697368,0.014,4,Southern Cone,Cono Sur,17,15,,1111,-,1,263827,  ,58,121600,Preliminar,2017
0,0.10,0.10,0,0.000,1,North America,América del Norte,0,15,,332,-,1,324119,  ,0,332,Preliminar,2016
0,19.05,5.11,8.284023669,0.367,5,Latin Caribbean,Caribe Latino,18,15,,1315,-,1,25723,  ,406,4901,Preliminar,2016
0,0.17,0.17,0,0.000,4,Southern Cone,Cono Sur,0,15,,91,-,1,54539,  ,0,94,Preliminar,2018
