"location","target","score","forecast_week","team","skill"
"HHS Region 2","1 wk ahead",-1.4822290682996,4,"PSI",0.227130833545738
"HHS Region 2","2 wk ahead",-1.19888145346074,4,"PSI",0.301531300144873
"HHS Region 2","3 wk ahead",-6.14512997097236,4,"PSI",0.002143897229397
"HHS Region 2","4 wk ahead",-9.6108180155733,4,"PSI",6.69999948410004e-05
"HHS Region 2","Season onset",0,4,"PSI",1
"HHS Region 2","Season peak percentage",-0.983045761984946,4,"PSI",0.37416972962583
"HHS Region 2","Season peak week",-0.10047528441558,4,"PSI",0.904407465095593
"HHS Region 3","1 wk ahead",-0.20925419795529,4,"PSI",0.811189006846159
"HHS Region 3","2 wk ahead",-1.27643632870487,4,"PSI",0.279029901601422
"HHS Region 3","3 wk ahead",-0.628514818071669,4,"PSI",0.533383384402103
"HHS Region 3","4 wk ahead",-0.098675275885531,4,"PSI",0.906036872280878
"HHS Region 3","Season onset",0,4,"PSI",1
"HHS Region 3","Season peak percentage",-0.313040171984096,4,"PSI",0.731220537399057
"HHS Region 3","Season peak week",-0.084953081300365,4,"PSI",0.918555380814446
"HHS Region 4","1 wk ahead",-0.561172083882617,4,"PSI",0.570539951116199
"HHS Region 4","2 wk ahead",-2.15120550281529,4,"PSI",0.11634382039891
"HHS Region 4","3 wk ahead",-3.70814037250128,4,"PSI",0.024523084697539
"HHS Region 4","4 wk ahead",-4.73800056564691,4,"PSI",0.008756136013911
"HHS Region 4","Season onset",0,4,"PSI",1
"HHS Region 4","Season peak percentage",-3.64298127623524,4,"PSI",0.026174195026174
"HHS Region 4","Season peak week",-0.019945384191884,4,"PSI",0.980252209111349
"HHS Region 5","1 wk ahead",-0.050721791815518,4,"PSI",0.950543082615205
"HHS Region 5","2 wk ahead",-1.48319609535465,4,"PSI",0.226911298050153
"HHS Region 5","3 wk ahead",-3.47089333604575,4,"PSI",0.0310892451087
"HHS Region 5","4 wk ahead",-4.12913975720598,4,"PSI",0.016096719955717
"HHS Region 5","Season onset",0,4,"PSI",1
"HHS Region 5","Season peak percentage",-3.45436205511095,4,"PSI",0.031607461744432
"HHS Region 5","Season peak week",-0.023737629711331,4,"PSI",0.976541891727201
"HHS Region 6","1 wk ahead",-3.10980080223843,4,"PSI",0.044609840635679
"HHS Region 6","2 wk ahead",-3.91273591851952,4,"PSI",0.019985746819416
"HHS Region 6","3 wk ahead",-3.22765223282732,4,"PSI",0.039650479691534
"HHS Region 6","4 wk ahead",-3.46599780610676,4,"PSI",0.031241816593333
"HHS Region 6","Season onset",0,4,"PSI",1
"HHS Region 6","Season peak percentage",-3.43781955155529,4,"PSI",0.032134677
"HHS Region 6","Season peak week",-0.098502473861734,4,"PSI",0.906193450814197
"HHS Region 7","1 wk ahead",-1.10668871843363,4,"PSI",0.330652032322608
"HHS Region 7","2 wk ahead",-1.79352306346066,4,"PSI",0.166372993330984
"HHS Region 7","3 wk ahead",-0.934189149043112,4,"PSI",0.39290432324967
"HHS Region 7","4 wk ahead",-1.68954209124277,4,"PSI",0.184604036446926
"HHS Region 7","Season onset",0,4,"PSI",1
"HHS Region 7","Season peak percentage",-1.55298725185371,4,"PSI",0.21161488174702
"HHS Region 7","Season peak week",-0.411647856858397,4,"PSI",0.662557550073964
"HHS Region 8","1 wk ahead",-0.371200439309858,4,"PSI",0.689905643488019
"HHS Region 8","2 wk ahead",-0.803590794652869,4,"PSI",0.447718409391653
"HHS Region 8","3 wk ahead",-0.123711237425881,4,"PSI",0.883634964752869
"HHS Region 8","4 wk ahead",-3.48881920982878,4,"PSI",0.030536908572818
"HHS Region 8","Season onset",0,4,"PSI",1
"HHS Region 8","Season peak percentage",-0.131440652366009,4,"PSI",0.876831311457409
"HHS Region 8","Season peak week",-0.070716123238215,4,"PSI",0.931726350048209
"HHS Region 9","1 wk ahead",-0.102720010040471,4,"PSI",0.902379595340454
"HHS Region 9","2 wk ahead",-0.335349784319052,4,"PSI",0.715087916062506
"HHS Region 9","3 wk ahead",-0.576061273256947,4,"PSI",0.562108001953572
"HHS Region 9","4 wk ahead",-0.232416131595326,4,"PSI",0.79261622201732
"HHS Region 9","Season onset",0,4,"PSI",1
"HHS Region 9","Season peak percentage",-0.271523467866752,4,"PSI",0.762217395641869
"HHS Region 9","Season peak week",-1.53247687929797,4,"PSI",0.215999998272
"US National","1 wk ahead",-0.164499125666241,4,"PSI",0.848318498657517
"US National","2 wk ahead",-2.51528559410855,4,"PSI",0.080839821532814
"US National","3 wk ahead",-1.69024578709434,4,"PSI",0.184474177048413
"US National","4 wk ahead",-1.64344703107743,4,"PSI",0.193312538171378
"US National","Season onset",0,4,"PSI",1
"US National","Season peak percentage",-2.61525902982191,4,"PSI",0.073148838511144
"US National","Season peak week",-0.053910015232301,4,"PSI",0.947517364795728
"HHS Region 1","1 wk ahead",-0.170648861980026,5,"PSI",0.843117572135271
"HHS Region 1","2 wk ahead",-0.241183342301086,5,"PSI",0.785697561583264
"HHS Region 1","3 wk ahead",-0.319636519855321,5,"PSI",0.72641302580517
"HHS Region 1","4 wk ahead",-1.2901022058052,5,"PSI",0.275242650255411
"HHS Region 1","Season onset",0,5,"PSI",1
"HHS Region 1","Season peak percentage",-0.190694407141581,5,"PSI",0.82638508694919
"HHS Region 1","Season peak week",-0.736169636851022,5,"PSI",0.478944939585779
"HHS Region 10","1 wk ahead",-0.710950233774405,5,"PSI",0.491177242432903
"HHS Region 10","2 wk ahead",-0.657182655179546,5,"PSI",0.518309536085697
"HHS Region 10","3 wk ahead",-0.708818487611682,5,"PSI",0.492225424466749
"HHS Region 10","4 wk ahead",-0.457425262458878,5,"PSI",0.632911129481065
"HHS Region 10","Season onset",0,5,"PSI",1
"HHS Region 10","Season peak percentage",0,5,"PSI",1
"HHS Region 10","Season peak week",0,5,"PSI",1
"HHS Region 2","1 wk ahead",-0.937195050307309,5,"PSI",0.39172506490271
"HHS Region 2","2 wk ahead",-2.33715415143367,5,"PSI",0.096602162543683
"HHS Region 2","3 wk ahead",-10,5,"PSI",4.53999297624849e-05
"HHS Region 2","4 wk ahead",-10,5,"PSI",4.53999297624849e-05
"HHS Region 2","Season onset",0,5,"PSI",1
"HHS Region 2","Season peak percentage",-0.552689827864689,5,"PSI",0.5754
"HHS Region 2","Season peak week",-2.07850750361262,5,"PSI",0.125116809302077
"HHS Region 3","1 wk ahead",-0.13192388375167,5,"PSI",0.876407701406862
"HHS Region 3","2 wk ahead",-0.861590141276834,5,"PSI",0.422489729533495
"HHS Region 3","3 wk ahead",-3.13517511013661,5,"PSI",0.043492137248357
"HHS Region 3","4 wk ahead",-3.52573310882742,5,"PSI",0.029430223901623
"HHS Region 3","Season onset",0,5,"PSI",1
"HHS Region 3","Season peak percentage",-2.60995057233994,5,"PSI",0.073538178493316
"HHS Region 3","Season peak week",-2.05165068980018,5,"PSI",0.128522577486002
"HHS Region 4","1 wk ahead",-0.096637451315474,5,"PSI",0.907885099021922
"HHS Region 4","2 wk ahead",-0.173514395142393,5,"PSI",0.840705049005884
