Áreas de Planejamento, Regiões Administrativas e Bairros,População Censo 2000,Semana 01,Semana 02, Semana 03, Semana 04, Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10, Semana 11, Semana 12, Semana 13, Semana 14, Semana 15, Semana 16,Semana 17, Semana 18, Semana 19,Semana 20, Semana 21, Semana 22, Semana 23,Semana 24,Semana 25,Semana 26, Semana 27,Semana 28, Semana 29, Semana 30,Semana 31,Semana 32,Semana 33, Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42, Semana 43,Semana 44,Semana 45,Semana 46, Semana 47, Semana 48, Semana 49,Semana 50,Semana 51,Semana 52
DEL CASTILHO, 12 191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
INHAÚMA, 42 792,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,
ENGENHO DA RAINHA, 27 521,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,
TOMAS COELHO, 22 183,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
XIII MÉIER, 389 673,8,2,2,2,7,7,3,2,6,1,1,3,0,3,1,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,3,1,0,0,0,2,
SÃO FRANCISCO XAVIER, 7 814,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ROCHA, 9 356,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RIACHUELO, 12 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SAMPAIO, 9 506,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
ENGENHO NOVO, 42 751,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
