Área Programática, Regiões Administrativas e Bairros,Pop. Censo 2010,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
Cosmos,77.007,0,12,44,36,29,7,0,1,3,1,1,12,146,
XXVI Guaratiba,123.114,178,550,1.731,3.281,2.513,755,96,63,71,106,178,194,9.716,
Guaratiba,110.049,123,350,881,1.904,1.485,418,36,27,28,42,74,89,5.457,
Barra de Guaratiba,3.577,25,99,189,289,321,102,11,2,2,4,11,11,1.066,
Pedra de Guaratiba,9.488,30,101,661,1.088,707,235,49,34,41,60,93,94,3.193,
Área Programática 5.3,368.534,118,236,594,1.679,970,218,41,19,15,17,31,74,4.012,
XIX Santa Cruz,368.534,118,236,594,1.679,970,218,41,19,15,17,31,74,4.012,
Paciência,94.626,61,90,208,519,315,41,9,1,3,1,7,36,1.291,
Santa Cruz,217.333,14,49,160,654,250,39,4,1,3,3,6,24,1.207,
Sepetiba,56.575,43,97,226,506,405,138,28,17,9,13,18,14,1.514,
