"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Month","Cases","Incidence.Per.100000"
"2011","Planning Area 2.1","V Copacabana","Copacabana","146392","October","10",6.83
"2011","Planning Area 2.1","V Copacabana","Copacabana","146392","November","22",15.03
"2011","Planning Area 2.1","V Copacabana","Copacabana","146392","December","26",17.76
"2011","Planning Area 2.1","V Copacabana","Leme","14799","January","1",6.76
"2011","Planning Area 2.1","V Copacabana","Leme","14799","February","9",60.81
"2011","Planning Area 2.1","V Copacabana","Leme","14799","March","17",114.87
"2011","Planning Area 2.1","V Copacabana","Leme","14799","April","35",236.5
"2011","Planning Area 2.1","V Copacabana","Leme","14799","May","19",128.39
"2011","Planning Area 2.1","V Copacabana","Leme","14799","June","6",40.54
"2011","Planning Area 2.1","V Copacabana","Leme","14799","July","3",20.27
"2011","Planning Area 2.1","V Copacabana","Leme","14799","August","0",0
"2011","Planning Area 2.1","V Copacabana","Leme","14799","September","0",0
"2011","Planning Area 2.1","V Copacabana","Leme","14799","October","1",6.76
"2011","Planning Area 2.1","V Copacabana","Leme","14799","November","0",0
"2011","Planning Area 2.1","V Copacabana","Leme","14799","December","5",33.79
"2011","Planning Area 2.1","VI Lagoa","Gávea","16003","January","2",12.5
"2011","Planning Area 2.1","VI Lagoa","Gávea","16003","February","19",118.73
"2011","Planning Area 2.1","VI Lagoa","Gávea","16003","March","56",349.93
"2011","Planning Area 2.1","VI Lagoa","Gávea","16003","April","57",356.18
"2011","Planning Area 2.1","VI Lagoa","Gávea","16003","May","23",143.72
"2011","Planning Area 2.1","VI Lagoa","Gávea","16003","June","16",99.98
"2011","Planning Area 2.1","VI Lagoa","Gávea","16003","July","1",6.25
"2011","Planning Area 2.1","VI Lagoa","Gávea","16003","August","1",6.25
"2011","Planning Area 2.1","VI Lagoa","Gávea","16003","September","1",6.25
"2011","Planning Area 2.1","VI Lagoa","Gávea","16003","October","7",43.74
"2011","Planning Area 2.1","VI Lagoa","Gávea","16003","November","1",6.25
"2011","Planning Area 2.1","VI Lagoa","Gávea","16003","December","22",137.47
"2011","Planning Area 2.1","VI Lagoa","Ipanema","42743","January","8",18.72
"2011","Planning Area 2.1","VI Lagoa","Ipanema","42743","February","27",63.17
"2011","Planning Area 2.1","VI Lagoa","Ipanema","42743","March","87",203.54
"2011","Planning Area 2.1","VI Lagoa","Ipanema","42743","April","78",182.49
"2011","Planning Area 2.1","VI Lagoa","Ipanema","42743","May","28",65.51
"2011","Planning Area 2.1","VI Lagoa","Ipanema","42743","June","15",35.09
"2011","Planning Area 2.1","VI Lagoa","Ipanema","42743","July","6",14.04
"2011","Planning Area 2.1","VI Lagoa","Ipanema","42743","August","3",7.02
"2011","Planning Area 2.1","VI Lagoa","Ipanema","42743","September","5",11.7
"2011","Planning Area 2.1","VI Lagoa","Ipanema","42743","October","0",0
"2011","Planning Area 2.1","VI Lagoa","Ipanema","42743","November","7",16.38
"2011","Planning Area 2.1","VI Lagoa","Ipanema","42743","December","3",7.02
"2011","Planning Area 2.1","VI Lagoa","Jardim Botânico","18009","January","5",27.76
"2011","Planning Area 2.1","VI Lagoa","Jardim Botânico","18009","February","17",94.4
"2011","Planning Area 2.1","VI Lagoa","Jardim Botânico","18009","March","45",249.88
"2011","Planning Area 2.1","VI Lagoa","Jardim Botânico","18009","April","40",222.11
"2011","Planning Area 2.1","VI Lagoa","Jardim Botânico","18009","May","18",99.95
"2011","Planning Area 2.1","VI Lagoa","Jardim Botânico","18009","June","12",66.63
"2011","Planning Area 2.1","VI Lagoa","Jardim Botânico","18009","July","3",16.66
"2011","Planning Area 2.1","VI Lagoa","Jardim Botânico","18009","August","0",0
"2011","Planning Area 2.1","VI Lagoa","Jardim Botânico","18009","September","0",0
"2011","Planning Area 2.1","VI Lagoa","Jardim Botânico","18009","October","0",0
"2011","Planning Area 2.1","VI Lagoa","Jardim Botânico","18009","November","4",22.21
"2011","Planning Area 2.1","VI Lagoa","Jardim Botânico","18009","December","3",16.66
"2011","Planning Area 2.1","VI Lagoa","Lagoa","21198","January","2",9.43
"2011","Planning Area 2.1","VI Lagoa","Lagoa","21198","February","11",51.89
"2011","Planning Area 2.1","VI Lagoa","Lagoa","21198","March","10",47.17
"2011","Planning Area 2.1","VI Lagoa","Lagoa","21198","April","22",103.78
"2011","Planning Area 2.1","VI Lagoa","Lagoa","21198","May","12",56.61
"2011","Planning Area 2.1","VI Lagoa","Lagoa","21198","June","5",23.59
"2011","Planning Area 2.1","VI Lagoa","Lagoa","21198","July","3",14.15
"2011","Planning Area 2.1","VI Lagoa","Lagoa","21198","August","0",0
"2011","Planning Area 2.1","VI Lagoa","Lagoa","21198","September","1",4.72
"2011","Planning Area 2.1","VI Lagoa","Lagoa","21198","October","1",4.72
