"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Week","Cases"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","26","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","27","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","28","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","29","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","30","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","31","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","32","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","33","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","34","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","35","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","36","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","37","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","38","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","39","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","40","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","41","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","42","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","43","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","44","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","45","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","46","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","47","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","48","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","49","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","50","1"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","51","0"
"2016","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","52","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","1","2"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","2","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","3","1"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","4","1"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","5","1"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","6","1"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","7","1"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","8","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","9","5"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","10","1"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","11","5"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","12","7"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","13","10"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","14","12"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","15","12"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","16","4"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","17","7"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","18","7"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","19","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","20","2"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","21","1"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","22","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","23","3"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","24","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","25","1"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","26","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","27","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","28","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","29","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","30","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","31","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","32","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","33","0"
"2016","Planning Area 1.0","III Rio Comprido","Estácio","17189","34","0"
