"Year","Province","Month","Cases","Population","Total.Cases","Incidence.Per.100000","Total.Deaths","Fatality.Rate"
"2007","Yasothon","April","18",540889,"278","51.40","0","0.00"
"2007","Amnat Charoen","May","37",368934,"237","64.24","0","0.00"
"2007","Ang Thong","May","12",283943,"369","129.96","1","0.27"
"2007","Ayutthaya","May","41",754595,"735","97.40","5","0.68"
"2007","Bangkok","May","446",5695956,"6944","121.91","10","0.14"
"2007","Buriram","May","154",1536722,"1685","109.65","2","0.12"
"2007","Chachoengsao","May","81",654206,"782","119.53","5","0.64"
"2007","Chai Nat","May","16",339006,"233","68.73","0","0.00"
"2007","Chaiyaphum","May","70",1119146,"741","66.21","1","0.13"
"2007","Chanthaburi","May","149",502389,"1033","205.62","0","0.00"
"2007","Chiang Mai","May","32",1658298,"656","39.56","0","0.00"
"2007","Chiang Rai","May","193",1225713,"819","66.82","2","0.24"
"2007","Chonburi","May","14",1209290,"184","15.22","2","1.09"
"2007","Chumphon","May","167",478964,"1090","227.57","0","0.00"
"2007","Kalasin","May","83",975562,"1422","145.76","1","0.07"
"2007","Kamphaeng Phet","May","44",728320,"670","91.99","1","0.15"
"2007","Kanchanaburi","May","76",834447,"868","104.02","3","0.35"
"2007","Khon Kaen","May","100",1750500,"944","53.93","0","0.00"
"2007","Krabi","May","76",403363,"663","164.37","0","0.00"
"2007","Lampang","May","46",773790,"237","30.63","1","0.42"
"2007","Lamphun","May","19",405564,"392","96.66","0","0.00"
"2007","Loei","May","50",613303,"293","47.77","0","0.00"
"2007","Lopburi","May","13",752775,"523","69.48","0","0.00"
"2007","Mae Hong Son","May","9",255174,"197","77.20","0","0.00"
"2007","Maha Sarakham","May","115",937686,"791","84.36","0","0.00"
"2007","Mukdahan","May","31",335447,"318","94.80","0","0.00"
"2007","Nakhon Nayok","May","61",250003,"395","158.00","0","0.00"
"2007","Nakhon Pathom","May","41",821905,"1235","150.26","1","0.08"
"2007","Nakhon Phanom","May","105",695351,"398","57.24","0","0.00"
"2007","Nakhon Ratchasima","May","120",2555587,"1346","52.67","1","0.07"
"2007","Nakhon Sawan","May","100",1076015,"1453","135.04","1","0.07"
"2007","Nakhon Si Thammarat","May","201",1510460,"1088","72.03","3","0.28"
"2007","Nan","May","4",477662,"81","16.96","0","0.00"
"2007","Narathiwat","May","88",707171,"1261","178.32","3","0.24"
"2007","Nong Bua Lam Phu","May","11",496692,"111","22.35","1","0.90"
"2007","Nong Khai","May","49",899580,"435","48.36","3","0.69"
"2007","Nonthaburi","May","109",999057,"2179","218.11","1","0.05"
"2007","Pathum Thani","May","20",861338,"560","65.02","0","0.00"
"2007","Pattani","May","156",635730,"1084","170.51","1","0.09"
"2007","Phang Nga","May","34",245394,"253","103.10","0","0.00"
"2007","Phatthalung","May","48",503321,"575","114.24","0","0.00"
"2007","Phayao","May","5",486219,"50","10.28","0","0.00"
"2007","Phetchabun","May","71",1002317,"796","79.42","2","0.25"
"2007","Phetchaburi","May","34",456681,"383","83.87","0","0.00"
"2007","Phichit","May","38",557832,"641","114.91","0","0.00"
"2007","Phitsanulok","May","44",844508,"622","73.65","1","0.16"
"2007","Phrae","May","46",468373,"311","66.40","0","0.00"
"2007","Phuket","May","47",300737,"474","157.61","5","1.05"
"2007","Prachinburi","May","102",453819,"738","162.62","0","0.00"
"2007","Prachuap Khiri Khan","May","58",494416,"692","139.96","3","0.43"
"2007","Ranong","May","5",179850,"98","54.49","1","1.02"
"2007","Ratchaburi","May","63",828930,"1155","139.34","1","0.09"
"2007","Rayong","May","121",573785,"1278","222.73","3","0.23"
"2007","Roi Et","May","236",1310047,"2061","157.32","1","0.05"
"2007","Sa Kaeo","May","76",538344,"479","88.98","0","0.00"
"2007","Sakon Nakhon","May","66",1109046,"669","60.32","0","0.00"
"2007","Samut Prakan","May","138",1107626,"2591","233.92","2","0.08"
"2007","Samut Sakhon","May","28",462510,"783","169.29","2","0.26"
"2007","Samut Songkhram","May","10",194990,"382","195.91","0","0.00"
"2007","Saraburi","May","11",609855,"415","68.05","1","0.24"
"2007","Satun","May","30",281545,"173","61.45","1","0.58"
"2007","Sing Buri","May","3",216969,"52","23.97","0","0.00"
"2007","Sisaket","May","207",1446484,"1618","111.86","3","0.19"
"2007","Songkhla","May","348",1317501,"2305","174.95","5","0.22"
"2007","Sukhothai","May","52",608820,"200","32.85","0","0.00"
"2007","Suphan Buri","May","23",843904,"664","78.68","0","0.00"
"2007","Surat Thani","May","242",960698,"1164","121.16","3","0.26"
"2007","Surin","May","384",1375257,"2620","190.51","4","0.15"
"2007","Tak","May","23",527677,"529","100.25","1","0.19"
"2007","Trang","May","63",607450,"256","42.14","0","0.00"
"2007","Trat","May","17",219949,"199","90.48","1","0.50"
"2007","Ubon Ratchathani","May","185",1783035,"1011","56.70","0","0.00"
"2007","Udon Thani","May","71",1527562,"631","41.31","1","0.16"
"2007","Uthai Thani","May","13",326988,"273","83.49","0","0.00"
"2007","Uttaradit","May","56",467482,"367","78.51","0","0.00"
"2007","Yala","May","71",468252,"761","162.52","0","0.00"
"2007","Yasothon","May","41",540889,"278","51.40","0","0.00"
"2007","Amnat Charoen","June","75",368934,"237","64.24","0","0.00"
"2007","Ang Thong","June","25",283943,"369","129.96","1","0.27"
"2007","Ayutthaya","June","45",754595,"735","97.40","5","0.68"
"2007","Bangkok","June","723",5695956,"6944","121.91","10","0.14"
"2007","Buriram","June","447",1536722,"1685","109.65","2","0.12"
"2007","Chachoengsao","June","167",654206,"782","119.53","5","0.64"
"2007","Chai Nat","June","21",339006,"233","68.73","0","0.00"
"2007","Chaiyaphum","June","156",1119146,"741","66.21","1","0.13"
"2007","Chanthaburi","June","220",502389,"1033","205.62","0","0.00"
"2007","Chiang Mai","June","99",1658298,"656","39.56","0","0.00"
"2007","Chiang Rai","June","464",1225713,"819","66.82","2","0.24"
"2007","Chonburi","June","34",1209290,"184","15.22","2","1.09"
"2007","Chumphon","June","216",478964,"1090","227.57","0","0.00"
"2007","Kalasin","June","205",975562,"1422","145.76","1","0.07"
"2007","Kamphaeng Phet","June","143",728320,"670","91.99","1","0.15"
"2007","Kanchanaburi","June","145",834447,"868","104.02","3","0.35"
"2007","Khon Kaen","June","191",1750500,"944","53.93","0","0.00"
"2007","Krabi","June","153",403363,"663","164.37","0","0.00"
"2007","Lampang","June","80",773790,"237","30.63","1","0.42"
"2007","Lamphun","June","39",405564,"392","96.66","0","0.00"
"2007","Loei","June","100",613303,"293","47.77","0","0.00"
"2007","Lopburi","June","48",752775,"523","69.48","0","0.00"
"2007","Mae Hong Son","June","65",255174,"197","77.20","0","0.00"
"2007","Maha Sarakham","June","181",937686,"791","84.36","0","0.00"
"2007","Mukdahan","June","53",335447,"318","94.80","0","0.00"
"2007","Nakhon Nayok","June","101",250003,"395","158.00","0","0.00"
"2007","Nakhon Pathom","June","129",821905,"1235","150.26","1","0.08"
"2007","Nakhon Phanom","June","144",695351,"398","57.24","0","0.00"
"2007","Nakhon Ratchasima","June","346",2555587,"1346","52.67","1","0.07"
"2007","Nakhon Sawan","June","263",1076015,"1453","135.04","1","0.07"
"2007","Nakhon Si Thammarat","June","207",1510460,"1088","72.03","3","0.28"
"2007","Nan","June","20",477662,"81","16.96","0","0.00"
"2007","Narathiwat","June","205",707171,"1261","178.32","3","0.24"
"2007","Nong Bua Lam Phu","June","21",496692,"111","22.35","1","0.90"
"2007","Nong Khai","June","120",899580,"435","48.36","3","0.69"
"2007","Nonthaburi","June","286",999057,"2179","218.11","1","0.05"
"2007","Pathum Thani","June","46",861338,"560","65.02","0","0.00"
"2007","Pattani","June","219",635730,"1084","170.51","1","0.09"
